id,date,name,abrv,primaryColor,logo,current_playoffs,current_round2,current_conf,current_final,current_win
16,2024-11-10,Nashville Predators,NSH,#FFB81C,/Images/predators.png,39.0%,16.0%,7.6%,3.9%,1.4%
17,2024-11-10,New Jersey Devils,NJD,#CE1126,/Images/devils.png,91.2%,48.7%,23.2%,11.6%,7.1%
18,2024-11-10,New York Islanders,NYI,#00539b,/Images/islanders.png,53.2%,20.3%,8.2%,3.7%,1.8%
19,2024-11-10,New York Rangers,NYR,#0038A8,/Images/rangers.png,93.7%,51.9%,24.9%,12.8%,7.8%
20,2024-11-10,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,49.9%,21.5%,10.6%,4.7%,2.5%
21,2024-11-10,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,2.1%,0.3%,0.1%,0.03%,0.01%
22,2024-11-10,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,4.5%,1.1%,0.4%,0.1%,0.04%
23,2024-11-10,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.01%,0.00%,0.00%,0.00%,0.00%
24,2024-11-10,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,22.2%,7.9%,3.1%,1.1%,0.3%
25,2024-11-10,St. Louis Blues,STL,#002F87,/Images/blues.png,19.9%,5.5%,1.9%,0.7%,0.2%
26,2024-11-10,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,57.0%,25.7%,13.1%,5.9%,3.4%
27,2024-11-10,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,87.6%,48.2%,26.2%,12.3%,7.4%
28,2024-11-10,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,32.9%,11.1%,4.4%,1.8%,0.6%
29,2024-11-10,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,93.7%,59.6%,31.6%,17.3%,7.3%
30,2024-11-10,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,70.2%,28.5%,12.1%,4.4%,1.2%
31,2024-11-10,Washington Capitals,WSH,#041E42,/Images/capitals.png,76.2%,26.0%,8.9%,3.3%,1.5%
32,2024-11-10,Winnipeg Jets,WPG,#004C97,/Images/jets.png,99.2%,63.2%,36.4%,20.9%,9.3%
1,2024-11-17,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,1.3%,0.3%,0.1%,0.02%,0.00%
2,2024-11-17,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,53.7%,26.6%,13.1%,6.2%,3.2%
3,2024-11-17,Buffalo Sabres,BUF,#003087,/Images/sabres.png,12.5%,4.1%,1.4%,0.5%,0.2%
4,2024-11-17,Calgary Flames,CGY,#D2001C,/Images/flames.png,29.2%,8.7%,2.7%,0.8%,0.2%
5,2024-11-17,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,93.7%,55.4%,31.9%,18.2%,10.7%
6,2024-11-17,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,1.6%,0.5%,0.1%,0.04%,0.01%
7,2024-11-17,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,54.0%,21.7%,9.3%,3.9%,1.5%
8,2024-11-17,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,0.3%,0.04%,0.01%,0.00%,0.00%
9,2024-11-17,Dallas Stars,DAL,#006847,/Images/stars.png,95.0%,53.2%,29.1%,15.6%,7.6%
10,2024-11-17,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,5.4%,1.4%,0.4%,0.1%,0.03%
11,2024-11-17,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,82.6%,44.9%,22.6%,11.3%,5.2%
12,2024-11-17,Florida Panthers,FLA,#c8102E,/Images/panthers.png,95.6%,56.3%,30.9%,17.4%,10.2%
13,2024-11-17,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,82.0%,45.3%,23.5%,12.2%,5.7%
14,2024-11-17,Minnesota Wild,MIN,#154734,/Images/wild.png,93.7%,47.0%,23.9%,11.8%,5.2%
15,2024-11-17,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,0.5%,0.1%,0.03%,0.01%,0.00%
16,2024-11-17,Nashville Predators,NSH,#FFB81C,/Images/predators.png,26.3%,11.8%,5.6%,2.6%,1.1%
17,2024-11-17,New Jersey Devils,NJD,#CE1126,/Images/devils.png,90.2%,48.9%,26.1%,13.6%,7.7%
18,2024-11-17,New York Islanders,NYI,#00539b,/Images/islanders.png,50.1%,22.0%,10.0%,4.6%,2.3%
19,2024-11-17,New York Rangers,NYR,#0038A8,/Images/rangers.png,88.6%,45.8%,23.1%,11.4%,6.1%
20,2024-11-17,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,47.4%,20.8%,9.2%,4.0%,1.9%
21,2024-11-17,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,18.2%,6.0%,2.1%,0.7%,0.3%
22,2024-11-17,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,3.0%,0.9%,0.3%,0.1%,0.02%
23,2024-11-17,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.2%,0.04%,0.00%,0.00%,0.00%
24,2024-11-17,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,29.8%,11.0%,4.2%,1.6%,0.5%
25,2024-11-17,St. Louis Blues,STL,#002F87,/Images/blues.png,11.8%,3.5%,1.2%,0.4%,0.1%
26,2024-11-17,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,72.6%,35.9%,17.3%,8.1%,4.2%
27,2024-11-17,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,84.0%,41.5%,19.8%,9.3%,4.8%
28,2024-11-17,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,30.7%,11.6%,4.7%,1.9%,0.7%
29,2024-11-17,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,90.9%,53.1%,28.6%,15.4%,7.5%
30,2024-11-17,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,72.3%,29.6%,11.9%,4.7%,1.7%
31,2024-11-17,Washington Capitals,WSH,#041E42,/Images/capitals.png,84.4%,34.3%,14.4%,5.8%,2.6%
32,2024-11-17,Winnipeg Jets,WPG,#004C97,/Images/jets.png,98.6%,57.9%,32.5%,17.8%,8.8%
1,2024-11-25,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,2.0%,0.5%,0.1%,0.03%,0.01%
2,2024-11-25,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,41.8%,18.3%,8.1%,3.5%,1.7%
3,2024-11-25,Buffalo Sabres,BUF,#003087,/Images/sabres.png,35.8%,14.1%,5.6%,2.1%,0.9%
4,2024-11-25,Calgary Flames,CGY,#D2001C,/Images/flames.png,54.9%,20.4%,7.4%,2.7%,0.9%
5,2024-11-25,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,95.8%,56.7%,32.9%,19.2%,11.4%
6,2024-11-25,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,1.2%,0.4%,0.1%,0.02%,0.01%
7,2024-11-25,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,70.7%,29.3%,13.2%,5.7%,2.2%
8,2024-11-25,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,0.9%,0.1%,0.02%,0.00%,0.00%
9,2024-11-25,Dallas Stars,DAL,#006847,/Images/stars.png,94.8%,51.9%,28.9%,15.5%,7.5%
10,2024-11-25,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,6.3%,1.8%,0.5%,0.2%,0.1%
11,2024-11-25,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,73.3%,37.8%,18.5%,8.9%,4.0%
12,2024-11-25,Florida Panthers,FLA,#c8102E,/Images/panthers.png,90.6%,53.7%,29.3%,16.4%,9.6%
13,2024-11-25,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,78.9%,44.6%,23.1%,12.2%,5.7%
14,2024-11-25,Minnesota Wild,MIN,#154734,/Images/wild.png,96.0%,49.7%,26.2%,13.3%,6.1%
15,2024-11-25,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,0.6%,0.1%,0.03%,0.01%,0.00%
16,2024-11-25,Nashville Predators,NSH,#FFB81C,/Images/predators.png,26.3%,11.9%,5.7%,2.7%,1.1%
17,2024-11-25,New Jersey Devils,NJD,#CE1126,/Images/devils.png,93.4%,48.9%,25.6%,13.0%,7.2%
18,2024-11-25,New York Islanders,NYI,#00539b,/Images/islanders.png,48.4%,21.5%,9.8%,4.5%,2.2%
19,2024-11-25,New York Rangers,NYR,#0038A8,/Images/rangers.png,89.3%,45.0%,23.0%,11.4%,6.1%
20,2024-11-25,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,35.1%,16.3%,7.6%,3.4%,1.7%
21,2024-11-25,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,14.1%,4.5%,1.6%,0.5%,0.2%
22,2024-11-25,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,1.6%,0.5%,0.1%,0.1%,0.01%
23,2024-11-25,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.1%,0.03%,0.01%,0.00%,0.00%
24,2024-11-25,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,22.0%,8.3%,3.1%,1.1%,0.4%
25,2024-11-25,St. Louis Blues,STL,#002F87,/Images/blues.png,6.8%,2.0%,0.6%,0.2%,0.1%
26,2024-11-25,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,70.3%,35.6%,17.4%,8.5%,4.5%
27,2024-11-25,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,88.1%,43.5%,20.1%,9.1%,4.7%
28,2024-11-25,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,15.0%,5.4%,2.1%,0.8%,0.3%
29,2024-11-25,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,89.4%,51.9%,27.3%,14.6%,7.0%
30,2024-11-25,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,69.9%,29.0%,11.8%,4.8%,1.7%
31,2024-11-25,Washington Capitals,WSH,#041E42,/Images/capitals.png,87.9%,39.5%,18.2%,8.3%,4.1%
32,2024-11-25,Winnipeg Jets,WPG,#004C97,/Images/jets.png,98.8%,57.0%,31.9%,17.6%,8.8%
1,2024-12-01,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,1.5%,0.4%,0.1%,0.02%,0.01%
2,2024-12-01,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,36.5%,16.2%,7.3%,3.2%,1.5%
3,2024-12-01,Buffalo Sabres,BUF,#003087,/Images/sabres.png,24.9%,9.5%,3.7%,1.3%,0.5%
4,2024-12-01,Calgary Flames,CGY,#D2001C,/Images/flames.png,37.1%,13.3%,4.9%,1.8%,0.6%
5,2024-12-01,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,95.3%,54.7%,30.6%,17.0%,9.9%
6,2024-12-01,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,1.0%,0.3%,0.1%,0.02%,0.01%
7,2024-12-01,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,57.3%,23.4%,10.2%,4.3%,1.7%
8,2024-12-01,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,1.1%,0.2%,0.04%,0.01%,0.00%
9,2024-12-01,Dallas Stars,DAL,#006847,/Images/stars.png,93.4%,50.4%,28.0%,15.2%,7.4%
10,2024-12-01,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,12.2%,4.0%,1.3%,0.4%,0.1%
11,2024-12-01,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,82.1%,41.8%,20.4%,9.9%,4.5%
12,2024-12-01,Florida Panthers,FLA,#c8102E,/Images/panthers.png,94.6%,56.2%,31.5%,17.8%,10.4%
13,2024-12-01,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,88.0%,48.2%,24.3%,12.4%,5.7%
14,2024-12-01,Minnesota Wild,MIN,#154734,/Images/wild.png,97.7%,51.2%,26.6%,13.4%,6.2%
15,2024-12-01,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,0.7%,0.2%,0.04%,0.01%,0.00%
16,2024-12-01,Nashville Predators,NSH,#FFB81C,/Images/predators.png,19.4%,8.9%,4.5%,2.2%,1.0%
17,2024-12-01,New Jersey Devils,NJD,#CE1126,/Images/devils.png,92.2%,48.4%,25.2%,13.0%,7.2%
18,2024-12-01,New York Islanders,NYI,#00539b,/Images/islanders.png,38.4%,16.6%,7.4%,3.3%,1.6%
19,2024-12-01,New York Rangers,NYR,#0038A8,/Images/rangers.png,82.8%,42.1%,21.7%,11.0%,6.0%
20,2024-12-01,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,38.6%,17.9%,8.3%,3.8%,1.9%
21,2024-12-01,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,22.6%,7.3%,2.5%,0.8%,0.3%
22,2024-12-01,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,4.1%,1.2%,0.3%,0.1%,0.03%
23,2024-12-01,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.3%,0.04%,0.01%,0.00%,0.00%
24,2024-12-01,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,12.7%,4.7%,1.7%,0.6%,0.2%
25,2024-12-01,St. Louis Blues,STL,#002F87,/Images/blues.png,12.1%,3.6%,1.2%,0.4%,0.1%
26,2024-12-01,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,69.0%,34.7%,17.4%,8.5%,4.5%
27,2024-12-01,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,91.3%,45.8%,21.7%,10.1%,5.1%
28,2024-12-01,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,29.6%,11.2%,4.5%,1.8%,0.6%
29,2024-12-01,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,92.2%,53.8%,28.6%,15.3%,7.4%
30,2024-12-01,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,77.0%,31.8%,12.9%,5.2%,1.9%
31,2024-12-01,Washington Capitals,WSH,#041E42,/Images/capitals.png,95.8%,45.3%,21.2%,9.7%,4.8%
32,2024-12-01,Winnipeg Jets,WPG,#004C97,/Images/jets.png,98.6%,57.1%,32.0%,17.8%,8.9%
1,2024-12-08,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,0.9%,0.2%,0.1%,0.01%,0.00%
2,2024-12-08,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,51.4%,23.0%,10.2%,4.5%,2.1%
3,2024-12-08,Buffalo Sabres,BUF,#003087,/Images/sabres.png,17.1%,6.8%,2.7%,1.0%,0.4%
4,2024-12-08,Calgary Flames,CGY,#D2001C,/Images/flames.png,37.3%,13.4%,4.9%,1.7%,0.6%
5,2024-12-08,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,93.1%,52.7%,29.5%,16.3%,9.6%
6,2024-12-08,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,0.5%,0.2%,0.1%,0.02%,0.01%
7,2024-12-08,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,52.5%,21.8%,9.5%,4.1%,1.6%
8,2024-12-08,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,0.7%,0.1%,0.02%,0.01%,0.00%
9,2024-12-08,Dallas Stars,DAL,#006847,/Images/stars.png,93.2%,50.9%,28.1%,15.2%,7.7%
10,2024-12-08,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,4.9%,1.6%,0.5%,0.2%,0.1%
11,2024-12-08,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,81.5%,41.3%,20.1%,9.8%,4.3%
12,2024-12-08,Florida Panthers,FLA,#c8102E,/Images/panthers.png,96.0%,57.0%,32.0%,18.1%,10.5%
13,2024-12-08,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,91.6%,50.5%,25.7%,13.2%,6.2%
14,2024-12-08,Minnesota Wild,MIN,#154734,/Images/wild.png,97.9%,50.8%,26.5%,13.2%,6.2%
15,2024-12-08,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,0.6%,0.1%,0.02%,0.01%,0.00%
16,2024-12-08,Nashville Predators,NSH,#FFB81C,/Images/predators.png,11.4%,5.2%,2.6%,1.2%,0.5%
17,2024-12-08,New Jersey Devils,NJD,#CE1126,/Images/devils.png,95.2%,50.0%,26.0%,13.4%,7.4%
18,2024-12-08,New York Islanders,NYI,#00539b,/Images/islanders.png,33.7%,14.8%,6.8%,3.1%,1.5%
19,2024-12-08,New York Rangers,NYR,#0038A8,/Images/rangers.png,81.8%,40.8%,20.9%,10.5%,5.7%
20,2024-12-08,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,45.0%,20.7%,9.7%,4.3%,2.1%
21,2024-12-08,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,19.6%,6.4%,2.2%,0.8%,0.3%
22,2024-12-08,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,5.2%,1.5%,0.5%,0.2%,0.1%
23,2024-12-08,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.3%,0.1%,0.02%,0.01%,0.00%
24,2024-12-08,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,15.4%,5.7%,2.3%,0.8%,0.3%
25,2024-12-08,St. Louis Blues,STL,#002F87,/Images/blues.png,14.1%,4.5%,1.5%,0.5%,0.1%
26,2024-12-08,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,68.9%,34.7%,17.2%,8.5%,4.5%
27,2024-12-08,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,89.6%,43.8%,20.8%,9.6%,4.8%
28,2024-12-08,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,27.9%,10.6%,4.5%,1.8%,0.7%
29,2024-12-08,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,91.1%,52.9%,28.3%,15.4%,7.4%
30,2024-12-08,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,85.9%,35.6%,14.3%,5.8%,2.2%
31,2024-12-08,Washington Capitals,WSH,#041E42,/Images/capitals.png,97.2%,45.9%,21.2%,9.6%,4.7%
32,2024-12-08,Winnipeg Jets,WPG,#004C97,/Images/jets.png,98.3%,56.4%,31.6%,17.3%,8.6%
1,2024-12-15,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,0.4%,0.1%,0.02%,0.01%,0.0%
2,2024-12-15,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,54.3%,25.3%,11.6%,5.2%,2.3%
3,2024-12-15,Buffalo Sabres,BUF,#003087,/Images/sabres.png,5.9%,2.1%,0.8%,0.3%,0.1%
4,2024-12-15,Calgary Flames,CGY,#D2001C,/Images/flames.png,29.2%,10.0%,3.6%,1.2%,0.4%
5,2024-12-15,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,93.0%,55.6%,32.8%,19.4%,11.0%
6,2024-12-15,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,0.3%,0.1%,0.02%,0.0%,0.0%
7,2024-12-15,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,66.0%,30.5%,14.4%,6.8%,3.1%
8,2024-12-15,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,1.4%,0.3%,0.1%,0.01%,0.0%
9,2024-12-15,Dallas Stars,DAL,#006847,/Images/stars.png,88.8%,46.1%,23.5%,12.1%,6.1%
10,2024-12-15,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,9.3%,3.4%,1.2%,0.4%,0.1%
11,2024-12-15,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,92.0%,49.4%,25.8%,13.1%,6.7%
12,2024-12-15,Florida Panthers,FLA,#c8102E,/Images/panthers.png,94.4%,55.3%,30.7%,17.2%,9.4%
13,2024-12-15,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,91.7%,49.3%,25.8%,13.1%,6.8%
14,2024-12-15,Minnesota Wild,MIN,#154734,/Images/wild.png,98.3%,54.3%,28.2%,14.7%,7.5%
15,2024-12-15,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,0.6%,0.1%,0.03%,0.01%,0.0%
16,2024-12-15,Nashville Predators,NSH,#FFB81C,/Images/predators.png,4.4%,2.0%,0.9%,0.4%,0.2%
17,2024-12-15,New Jersey Devils,NJD,#CE1126,/Images/devils.png,94.9%,46.8%,23.6%,11.5%,5.6%
18,2024-12-15,New York Islanders,NYI,#00539b,/Images/islanders.png,37.5%,16.7%,7.7%,3.4%,1.5%
19,2024-12-15,New York Rangers,NYR,#0038A8,/Images/rangers.png,68.1%,33.7%,17.3%,8.7%,4.2%
20,2024-12-15,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,51.8%,23.8%,10.8%,4.8%,2.2%
21,2024-12-15,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,19.0%,6.5%,2.4%,0.8%,0.2%
22,2024-12-15,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,3.5%,0.9%,0.3%,0.1%,0.02%
23,2024-12-15,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.1%,0.02%,0.0%,0.0%,0.0%
24,2024-12-15,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,12.2%,4.3%,1.6%,0.6%,0.2%
25,2024-12-15,St. Louis Blues,STL,#002F87,/Images/blues.png,11.8%,3.9%,1.3%,0.4%,0.1%
26,2024-12-15,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,76.8%,37.5%,17.9%,8.5%,4.0%
27,2024-12-15,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,91.1%,44.7%,20.8%,9.5%,4.3%
28,2024-12-15,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,36.9%,14.2%,5.7%,2.2%,0.9%
29,2024-12-15,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,91.8%,54.9%,31.4%,17.9%,9.9%
30,2024-12-15,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,80.8%,30.7%,12.2%,4.6%,1.8%
